@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
-0.6335000000000002,3
1.3232000000000002,3
1.8795,4
-0.9859,2
0.2851,3
0.3899,1
0.008,1
7.177499999999994,4
0.746,2
-1.2119999999999997,2
-0.6688000000000001,1
4.330999999999999,5
0.703,4
-0.5552000000000001,3
1.1897000000000002,2
0.3716,3
0.3774,5
0.4282,5
1.6916,3
-1.1262,1
1.2700999999999998,4
0.0012000000000000274,2
0,4
-3.0219999999999976,2
1.4770999999999999,5
0.07740000000000001,3
4.9472999999999985,5
0.8612999999999998,2
-1.1654000000000004,3
-1.0234,2
0.36439999999999995,4
0.09770000000000001,4
0.16799999999999998,5
-0.4906,1
0.02,4
0.18190000000000006,5
0.0711,1
-0.22449999999999992,3
0.16080000000000003,1
-0.3399,1
0.6650999999999999,3
0.42469999999999997,5
0.3412,2
-0.3356,5
-0.07520000000000004,1
-0.41390000000000016,4
-0.5194000000000001,2
0.27560000000000007,5
-0.8115000000000001,4
-4.644399999999999,1
1.7655999999999998,3
-2.1369000000000002,3
-0.6418999999999999,1
-1.0174,2
-1.204,1
0.004,3
0.4052,3
0.03360000000000001,4
-0.9115000000000001,1
0.0012000000000000274,2
-0.9206,2
0.6221,5
-1.1783,1
0,5
2.639800000000001,3
0.5146000000000001,2
0.035499999999999976,4
-3.0638,5
-1.2011999999999998,1
2.9025999999999996,5
0.4132,4
0,1
-1.0415,1
0.3716,4
2.260800000000001,4
0.3042000000000001,3
3.3987,4
-0.8359,2
0,1
1.2982,5
-0.9386000000000001,2
0.7315,5
-0.7331,2
0.5001000000000002,1
0.8573,5
0.7432,4
-0.5174,4
-0.2529,1
1.3615,5
-1.327,3
1.6940999999999997,4
0.5435,5
0.5287999999999999,5
0.9073000000000002,2
0.47740000000000005,3
-1.2320000000000002,2
0.5164000000000001,4
0.2097,3
0.8448,3
-0.3944,2
-0.7811000000000001,1
0.9347,1
1.3577,4
0.1255,4
2.0368999999999997,5
0.004,2
-2.6083,1
0.49429999999999985,5
-0.1996,3
0.8808,5
-0.02719999999999998,1
1.4423,5
1.6275999999999997,5
0.004,1
0.24839999999999998,1
0.2704,4
0.9524999999999999,4
-0.31989999999999996,2
2.639800000000001,3
1.8316,3
-1.2964,2
0.46649999999999997,3
-1.0236999999999998,2
0.004,3
0.07540000000000013,4
