@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute adjective_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.3745000000000003,510,1.1717000000000004,0.2056,1
-0.3825,33,0.004,0,1
-0.7717999999999999,148,0.16860000000000008,-0.4697,2
0.18539999999999984,152,0.48579999999999995,0.012,1
-0.4289,57,-0.2314,-0.1975,2
0.30889999999999995,36,0.30489999999999995,0,4
0.3112,70,0.9566,0.2198,4
1.5493000000000001,28,1.1169,0.4324,4
1.8504000000000003,92,1.1977,0.6446999999999999,5
-0.6669,48,-0.6621,0,3
-0.19110000000000005,65,-0.23199999999999998,0.5196,3
-0.17359999999999998,116,-0.4094,0.2358,3
3.7658000000000005,358,2.6527999999999996,1.1098,5
-0.0363,82,0.012,0,5
1.1188,55,1.1284,0,4
0.6334,30,0.3756,0.2578,2
0.003699999999999981,75,0.48239999999999994,0,3
-0.0048,43,0,-0.0048,1
-0.8167,34,-0.33799999999999997,0,2
-1.1781000000000001,96,-0.3169000000000001,0,1
-0.5251000000000001,54,-0.5351,-0.0007999999999999995,4
-0.09250000000000003,28,0.3862,0,3
0.7434000000000001,184,0.9441999999999999,0,2
-0.06390000000000004,90,-0.06790000000000004,0.004,3
2.0492999999999997,517,2.6050000000000004,-0.2036,5
3.082900000000001,507,2.7734000000000005,-0.33860000000000007,2
0.27470000000000006,237,0.7988,0.004,2
-1.1549,113,-0.8279,-0.331,1
0.5896000000000001,205,0.3197,-0.38449999999999995,3
-0.6416000000000001,432,0.4618999999999999,-0.19510000000000005,3
-0.8934,46,-0.5845,-0.3129,2
-1.1126,25,-1.1166,0.004,2
0.2850999999999999,58,0.7597999999999999,0,4
-0.7099,125,-0.7099,0,2
2.788700000000001,301,1.8383999999999998,0.7384000000000001,4
-0.3655999999999999,79,-0.36959999999999993,0.004,3
-1.5144,289,-0.7406,-0.0007999999999999995,1
2.6988,110,2.2462999999999997,0.2318,5
0.0711,28,0,0,5
0.6227,237,0.6107,0,1
-0.407,83,-0.7356,0,3
0.21430000000000002,138,0.6702,-0.45589999999999997,4
1.4243999999999999,146,1.4252,0.004,4
0.43520000000000003,35,0.48210000000000003,0,5
0.3756,44,0.3756,0,5
0.31829999999999997,491,1.1597,-0.704,1
-1.5593,31,-0.5751,-0.4521,1
1.2436,168,1.2316,0.004,5
0.393,29,0.393,0,4
1.7844000000000004,477,2.9172999999999996,-0.5428999999999999,5
1.7523,115,1.6715,0,4
0.1099,33,0.1099,0,5
-2.0342000000000002,366,-1.0434000000000003,-0.9908000000000001,4
0.264,110,0.019699999999999995,0.2398,1
0.004,40,0.004,0,1
-0.2055,84,-0.2047,0.004,3
-0.6418999999999999,39,-0.3066,-0.3353,1
0.33159999999999995,247,1.3744999999999998,-0.14,4
-4.4254999999999995,1003,1.1216,0.08479999999999999,4
1.2229,27,1.2229,0,5
-0.34950000000000003,29,-0.3447,0,2
0.3797,59,0.3797,0,4
0.9977,40,0.9937,0,5
-1.2212000000000003,110,-0.6619,0.2097,1
0.8768,48,0.8768,0,3
0.8916999999999999,64,0.8876999999999999,0.004,3
-0.0167,30,-0.0167,0,3
0.12410000000000002,113,0.12490000000000001,0,4
-0.4530000000000001,527,0.9174000000000002,-0.024200000000000003,2
0.7093000000000002,219,0.3802000000000001,0.3251,1
-0.374,24,-0.378,0.004,3
-6.722200000000001,1520,0.0033000000000009133,-0.46559999999999996,2
-1.3790999999999998,32,-1.0480999999999998,-0.331,2
0.5052,30,0.5052,0,1
0.3226,30,0.3226,0,5
2.1431,203,1.7702,0.6621999999999999,3
-4.993199999999999,892,-1.8108,-0.26920000000000005,3
0.6593,35,0.6593,0,5
0.004,20,0.004,0,5
-0.037200000000000066,246,1.1604,-0.5362,2
2.788700000000001,301,1.8383999999999998,0.7384000000000001,4
-0.6854,126,-0.05319999999999997,0,2
-0.08320000000000002,167,0.2458,-0.329,3
0.0161,23,0.0161,0,5
