@relation Review_sentiment


@attribute token_number numeric
@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute noun_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
28,0.15250000000000002,0.14850000000000002,0.004,0,3
19,0.3822,0.3822,0,0,4
50,-1.9618000000000002,-0.9841,0,-0.499,1
40,0.011300000000000001,0.011300000000000001,0,0,3
25,0.004,0,0.004,0,4
49,0.3252,0.1014,0.004,0.2198,2
94,1.3480999999999999,1.3400999999999998,0,0.008,3
55,0.8039,0.4813,0,0.3226,5
23,0.393,0.393,0,0,5
336,-1.3952,-1.3856,0.2532,-0.26280000000000003,1
27,0.2141,0.004,0,0.2101,4
37,0.4928,0.4928,0,0,3
36,0.2984,-0.020199999999999968,0,0.3186,5
161,-0.20919999999999983,-0.21239999999999992,-0.0007999999999999995,0.004,1
48,0.6979,0.6979,0,0,3
27,-0.33640000000000003,0.1471,0,-0.0048,2
115,0.5162,0.6822999999999999,0,-0.16609999999999997,2
59,0.8513999999999999,0.8433999999999999,0,0.008,5
86,0.4514,0.4394,0.004,0.008,5
32,0.8769,0.8817,0,-0.0048,5
75,0.37870000000000004,0.37870000000000004,0,0,2
39,0.1167,0.1215,0,-0.0048,5
40,0,0,0,0,2
97,-2.1043,-0.7548999999999999,-0.4895,-0.3234,1
86,0.6306,0.6348,-0.3454,0.3412,1
88,-0.004999999999999994,-0.004999999999999994,0,0,1
47,0.9768999999999999,0.9728999999999999,0,0.004,4
69,0.006500000000000001,0.011300000000000001,-0.0048,0,2
246,-2.5107999999999997,-1.6688,-0.8412,-0.0007999999999999995,1
23,0.8603000000000001,0.8603000000000001,0,0,4
102,-0.17559999999999998,0.3756,-0.6828,0.1316,3
30,-0.2802,-0.2802,0,0,2
75,0.1292,0.1292,0,0,4
477,0.3548999999999999,2.003,-1.1293,-0.5267999999999999,2
76,-0.0104,-0.005599999999999999,0,-0.0048,4
24,-0.0048,0,0,0,3
36,0.2102,0.5967,-0.3865,0,3
125,-0.5462,-0.5662,0.02,0,4
31,0.4039,0.1658,0,0.2381,5
95,0.5259,0.5219,0,0.004,5
182,0.5699,0.5849,0.012,-0.027,3
73,0.17809999999999998,0.3716,-0.1935,0,1
32,0.6456,0.46649999999999997,0,0.1791,5
199,-0.4166,0.24259999999999998,-0.6592,0,2
33,-0.0007999999999999995,-0.0007999999999999995,0,0,1
115,0.061299999999999855,0.7950999999999999,-0.7338,0,2
30,1.4562,1.1088,0.3474,0,5
143,0.17980000000000002,0.18460000000000004,0,-0.0048,4
87,-0.3557,0.6017,0,0,3
29,0.3404,0.3364,0,0.004,4
27,0.7646,0.7646,0,0,5
26,-0.0331,0.008,0,-0.0411,4
