@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.3745000000000003,1.1717000000000004,1
-0.3825,0.004,1
-0.7717999999999999,0.16860000000000008,2
0.18539999999999984,0.48579999999999995,1
-0.4289,-0.2314,2
0.30889999999999995,0.30489999999999995,4
0.3112,0.9566,4
1.5493000000000001,1.1169,4
1.8504000000000003,1.1977,5
-0.6669,-0.6621,3
-0.19110000000000005,-0.23199999999999998,3
-0.17359999999999998,-0.4094,3
3.7658000000000005,2.6527999999999996,5
-0.0363,0.012,5
1.1188,1.1284,4
0.6334,0.3756,2
0.003699999999999981,0.48239999999999994,3
-0.0048,0,1
-0.8167,-0.33799999999999997,2
-1.1781000000000001,-0.3169000000000001,1
-0.5251000000000001,-0.5351,4
-0.09250000000000003,0.3862,3
0.7434000000000001,0.9441999999999999,2
-0.06390000000000004,-0.06790000000000004,3
2.0492999999999997,2.6050000000000004,5
3.082900000000001,2.7734000000000005,2
0.27470000000000006,0.7988,2
-1.1549,-0.8279,1
0.5896000000000001,0.3197,3
-0.6416000000000001,0.4618999999999999,3
-0.8934,-0.5845,2
-1.1126,-1.1166,2
0.2850999999999999,0.7597999999999999,4
-0.7099,-0.7099,2
2.788700000000001,1.8383999999999998,4
-0.3655999999999999,-0.36959999999999993,3
-1.5144,-0.7406,1
2.6988,2.2462999999999997,5
0.0711,0,5
0.6227,0.6107,1
-0.407,-0.7356,3
0.21430000000000002,0.6702,4
1.4243999999999999,1.4252,4
0.43520000000000003,0.48210000000000003,5
0.3756,0.3756,5
0.31829999999999997,1.1597,1
-1.5593,-0.5751,1
1.2436,1.2316,5
0.393,0.393,4
1.7844000000000004,2.9172999999999996,5
1.7523,1.6715,4
0.1099,0.1099,5
-2.0342000000000002,-1.0434000000000003,4
0.264,0.019699999999999995,1
0.004,0.004,1
-0.2055,-0.2047,3
-0.6418999999999999,-0.3066,1
0.33159999999999995,1.3744999999999998,4
-4.4254999999999995,1.1216,4
1.2229,1.2229,5
-0.34950000000000003,-0.3447,2
0.3797,0.3797,4
0.9977,0.9937,5
-1.2212000000000003,-0.6619,1
0.8768,0.8768,3
0.8916999999999999,0.8876999999999999,3
-0.0167,-0.0167,3
0.12410000000000002,0.12490000000000001,4
-0.4530000000000001,0.9174000000000002,2
0.7093000000000002,0.3802000000000001,1
-0.374,-0.378,3
-6.722200000000001,0.0033000000000009133,2
-1.3790999999999998,-1.0480999999999998,2
0.5052,0.5052,1
0.3226,0.3226,5
2.1431,1.7702,3
-4.993199999999999,-1.8108,3
0.6593,0.6593,5
0.004,0.004,5
-0.037200000000000066,1.1604,2
2.788700000000001,1.8383999999999998,4
-0.6854,-0.05319999999999997,2
-0.08320000000000002,0.2458,3
0.0161,0.0161,5
-0.536,-0.5312,1
-0.4515,-0.065,2
-0.9052,-1.1193,3
0.9077,0.5891,5
1.1120999999999999,1.1080999999999999,5
1.0385,1.2125,4
-0.3129,-0.3129,1
-0.1327,0.1722,1
0.3593,0.2579,2
-1.9413999999999993,-0.34560000000000013,3
-0.21050000000000008,0.16799999999999998,4
-2.2217000000000002,-0.8021,2
-0.22419999999999993,0.3636999999999999,2
0.5766,0.5766,1
0.09680000000000001,0.008,4
0.7792,0.7752,5
-0.06920000000000004,0,1
0,0,4
0.33330000000000004,0.1008,5
-0.5,0,1
-0.33580000000000004,0,1
-1.6838,0.8271999999999999,3
2.2186,2.1224,2
-0.493,-0.493,3
1.1842,1.1842,5
0.5195,0.5195,5
-0.9854,-0.6688000000000001,2
1.3517,1.3517,5
0.6022,0.6022,5
-0.8839000000000001,-0.5707,1
1.3564,0.8808,4
1.6584999999999996,1.624,3
-0.0817,0.393,1
-1.1045999999999996,-0.4964999999999998,2
0.008,0.004,1
0.0946,0.0946,3
0.36609999999999965,0.8434,3
-1.2244999999999997,-0.7562999999999999,4
-0.37360000000000004,0.10109999999999997,1
-0.2675,-0.2675,4
1.7352,4.7867,2
1.3436,1.3436,5
-0.9502999999999999,0.34380000000000005,3
1.5704,0.7951000000000001,2
2.184,2.6723,3
2.2105,2.5930000000000004,4
-1.7204,0.3845,2
4.4822,4.0783,3
1.3586,1.7728,5
2.3809,2.3825,4
-0.44139999999999996,-0.39499999999999996,1
1.7184000000000001,1.7144000000000001,5
-2.9127,-2.6210000000000004,4
1.5957999999999999,1.1166,4
0.5828,0.5828,5
-1.8785,-1.4638,4
0.004,0.004,4
-0.0422,-0.0422,3
-1.5377999999999998,-1.3027,1
0.49639999999999995,0.5012,2
-1.5989,0.694,1
1.1505,0.8886999999999999,3
0.0028999999999999816,-0.24490000000000003,2
0,0,2
1.2962,1.0715999999999999,2
0.3458,-0.0007999999999999995,5
-1.3973000000000002,-1.1397000000000002,2
0.9628,0.9628,4
0.2741,0.3557,1
1.0175,0.8265,5
-1.0274999999999999,0.6136,2
-0.6607999999999998,0.24690000000000004,3
1.0037,1.1647999999999998,3
1.3794,1.3794,5
1.2107999999999999,1.2418,4
