@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
340,3197.06,1810.29,23.5294,1363.24,5
37,108.108,108.108,0,0,5
81,-1653.09,-2982.72,98.7654,1230.86,4
69,5501.45,5501.45,0,0,4
48,8170.83,8187.5,0,83.3333,5
45,21351.1,14988.9,6362.22,0,5
138,22292.8,19717.4,2517.39,57.971,5
50,25076,25076,0,0,4
118,-2054.24,-2054.24,0,0,3
36,31077.8,30966.7,0,111.111,5
28,-5260.71,-5403.57,0,142.857,1
45,-2757.78,-2651.11,0,-106.667,3
74,10854.1,10854.1,0,0,3
139,4594.96,7346.76,28.777,663.309,5
107,14785,14706.5,0,78.5047,5
31,16296.8,16296.8,0,0,5
73,7878.08,7878.08,0,0,2
24,166.667,166.667,0,0,1
63,0,0,0,0,5
9,-46155.6,-46155.6,0,0,5
25,-22368,-19892,0,-2476,1
29,21255.2,11244.8,9734.48,275.862,5
21,0,0,0,0,5
905,-2421.33,293.37,-3757.24,1042.54,5
60,-18680,-2521.67,-7775,-8383.33,1
37,-20167.6,-20167.6,0,0,3
26,153.846,153.846,0,0,5
63,8285.71,4130.16,63.4921,4092.06,5
73,-13794.5,-2950.68,0,-4286.3,2
129,4113.95,4051.94,0,62.0155,4
202,962.376,70.297,0,892.079,3
1218,4069.7,4885.39,-913.054,-345.238,4
53,29349.1,9301.89,18298.1,1749.06,5
82,-16472,5870.73,-9939.02,-6565.85,4
35,228.571,114.286,0,114.286,5
60,4635,6326.67,4086.67,-5778.33,5
40,12665,12665,0,0,5
23,21247.8,21247.8,0,0,5
321,-10416.2,-4121.18,-6280.06,0,3
76,-13426.3,-13426.3,0,0,5
131,3040.46,2954.96,91.6031,30.5344,5
87,2567.82,2429.89,91.954,45.977,5
45,31275.6,31275.6,0,0,5
42,8847.62,8847.62,0,0,2
339,-1441,1213.86,-1913.57,-979.646,1
147,13017,10927.2,0,2089.8,4
275,2317.09,1158.55,0,0,5
695,4389.93,5766.76,-719.856,-650.072,5
21,190.476,190.476,0,0,4
60,3945,3811.67,66.6667,66.6667,3
31,17948.4,17948.4,0,0,5
29,137.931,137.931,0,0,5
77,13875.3,15246.8,-1309.09,-62.3377,3
212,-6673.11,-2062.26,-3.77358,-4607.08,3
37,18708.1,13545.9,0,5162.16,5
207,9976.81,4590.82,3179.71,2206.28,4
871,5117.57,7909.18,-1507.23,-458.553,4
44,-21622.7,-10743.2,0,0,1
132,-2931.06,9449.24,-8753.79,0,1
153,12907.8,10611.1,0,2296.73,5
58,10572.4,10434.5,137.931,0,4
105,4180,15571.4,-8076.19,-3315.24,5
1080,428.148,1050.46,-396.574,-221.296,5
191,3993.19,2646.07,0,1347.12,5
122,9695.9,8992.62,0,703.279,5
36,222.222,222.222,0,0,5
22,34936.4,34754.5,181.818,0,5
224,-6.25,5441.52,-1689.73,-3758.04,5
25,28352,28192,0,160,5
1493,5022.17,6324.92,-580.643,237.642,5
28,285.714,285.714,0,0,5
42,20681,20585.7,95.2381,0,5
23,15104.3,15104.3,0,0,5
237,-2692.41,496.203,-2648.1,-1408.44,4
31,14496.8,12045.2,-154.839,0,4
37,10043.2,10043.2,0,0,5
24,166.667,166.667,0,0,3
120,7467.5,7273.33,-7108.33,2810,2
53,7237.74,7162.26,0,75.4717,5
311,5338.59,7473.63,-2145.34,10.2894,5
31,129.032,0,129.032,0,4
32,21965.6,21990.6,-25,0,5
83,-12608.4,153.012,-6936.14,-57.8313,2
152,-4615.79,-2630.26,1883.55,-3869.08,5
282,-1342.2,-3931.21,14.1844,2574.82,3
54,3918.52,13748.1,-9829.63,0,5
24,333.333,166.667,0,166.667,5
106,22931.1,13753.8,6171.7,3005.66,5
168,8624.4,6026.79,0,2597.62,5
23,173.913,173.913,0,0,5
49,0,0,0,0,5
35,-7757.14,-7757.14,0,0,5
21,28719,18714.3,0,10004.8,5
46,-10276.1,-10276.1,0,0,1
89,20749.4,20749.4,0,0,5
344,6324.13,9562.5,-2889.83,-348.547,5
404,-4605.45,-1838.86,-732.673,-11.8812,1
376,2449.47,1274.2,-14.8936,48.9362,4
1581,5941.62,6589.25,-761.923,175.965,5
91,-21676.9,-105.495,-17934.1,-3637.36,1
49,7665.31,7665.31,0,0,5
74,10743.2,6329.73,54.0541,4359.46,5
25,40256,40096,0,160,5
27,38488.9,13763,12148.1,12577.8,5
221,-3762.44,-132.579,-3647.96,18.0995,5
177,4665.54,2922.03,45.1977,1698.31,5
284,8813.73,5079.23,275,-320.07,5
39,-16459,-7861.54,0,-8597.44,1
42,9133.33,9038.1,0,95.2381,3
24,23920.8,23920.8,0,0,5
145,10464.1,15343.4,-2582.76,-2296.55,5
188,-10569.7,-10091.5,474.468,-952.66,1
20,37160,37160,0,0,3
21,52585.7,42581,0,10004.8,4
24,15358.3,15558.3,0,0,5
110,154.545,2111.82,0,-1957.27,3
421,2697.39,4453.21,-1138.95,520.19,4
43,-6269.77,2718.6,-8988.37,0,5
31,258.065,0,258.065,0,1
70,-10340,422.857,-10762.9,0,5
21,-19709.5,-19709.5,0,0,3
44,31731.8,11604.5,0,20127.3,5
697,11999,11763.7,-1709.18,2895.41,4
41,97.561,97.561,0,0,1
95,671.579,1094.74,84.2105,-507.368,5
29,15686.2,15686.2,0,0,4
24,-19945.8,0,0,0,3
140,8630,14054.3,-6092.86,668.571,4
216,-6089.81,-3262.5,-1661.57,-1165.74,5
42,-19.0476,-114.286,0,95.2381,5
1176,5730.44,6202.3,-772.024,304.252,5
969,345.511,3162.33,-1100.52,-1222.29,5
54,-19548.1,-19533.3,-88.8889,74.0741,4
148,-5591.89,-2070.27,-5168.92,1647.3,1
91,-390.11,-8.79121,0,-381.319,1
58,68.9655,68.9655,0,0,5
59,9496.61,9496.61,0,0,4
39,-11143.6,9630.77,-20774.4,0,5
328,4895.43,9222.56,-1432.62,24.3902,5
463,2377.97,2969.55,-617.495,25.9179,5
161,3573.91,3188.2,-3077.64,3463.35,5
801,-175.905,1630.21,-388.015,-1418.1,5
80,1336.25,1236.25,0,100,5
146,12458.9,12431.5,0,27.3973,5
217,-1616.13,-2053.92,18.4332,47.0046,2
121,-5376.03,1839.67,-8827.27,33.0579,5
91,131.868,43.956,43.956,43.956,1
23,4217.39,4043.48,0,173.913,1
34,-18529.4,-4450,0,0,1
110,4592.73,-2283.64,2945.45,3930.91,5
1714,1490.72,4367.09,-2655.95,-254.551,4
59,14762.7,12771.2,0,1991.53,5
46,0,0,0,0,5
22,2818.18,17863.6,0,-15045.5,1
1070,835.421,2465.33,-1653.93,24.0187,5
47,5823.4,5738.3,85.1064,0,5
318,-1860.06,-1744.34,-1313.84,1185.53,5
25,32804,15508,0,17296,5
83,7251.81,7309.64,0,-57.8313,4
316,93.9873,3573.1,-610.127,-1354.11,4
71,15987.3,18262,0,4467.61,5
23,47973.9,47973.9,0,0,5
49,27681.6,17975.5,0,9706.12,4
58,-601.724,4375.86,0,-4977.59,5
57,56.1404,70.1754,0,70.1754,1
32,31325,31325,0,0,5
20,200,0,0,0,5
27,-5603.7,-29.6296,6844.44,-12418.5,1
37,23697.3,23697.3,0,0,5
53,1898.11,9115.09,-7292.45,75.4717,5
316,18939.6,18954.7,-15.1899,0,5
28,38017.9,38017.9,0,0,3
397,-1003.78,879.849,-687.909,10.0756,4
51,16388.2,16388.2,0,0,5
42,5392.86,5392.86,0,0,2
38,9700,9826.32,0,-126.316,4
124,4550,13900.8,-9350.81,0,3
57,14245.6,6659.65,0,7585.96,5
64,-7095.31,-8598.44,0,1503.13,1
143,-5216.08,-5255.24,50.3497,55.9441,4
170,10233.5,9773.53,-2330,2790,5
43,19958.1,11967.4,93.0233,7897.67,5
736,12509.5,12320.1,37.6359,385.19,5
216,2322.69,4179.17,-1875,18.5185,2
462,2296.54,2732.68,490.043,-926.19,2
25,20020,19860,0,160,5
130,8627.69,7011.54,0,1616.15,4
20,46680,46680,0,0,5
369,-1249.86,3303.79,-3670.73,-891.599,5
24,15725,15558.3,0,166.667,5
31,-15596.8,-154.839,0,0,1
47,38834,38663.8,85.1064,85.1064,5
28,7789.29,142.857,142.857,7503.57,5
40,14820,18272.5,-9072.5,0,5
72,31945.8,10636.1,-66.6667,13888.9,5
152,14778.3,14725.7,26.3158,26.3158,5
185,3541.08,2288.11,0,1252.97,3
56,-1798.21,-4850,1526.79,1525,2
330,2342.12,4671.52,-632.727,-246.061,5
133,5460.15,5430.08,0,0,3
31,12806.5,12677.4,0,129.032,5
580,2140.86,2267.24,34.4828,-2956.21,5
25,-13428,-13428,0,0,4
323,12281.1,12097.8,-2922.6,3105.88,5
41,-6356.1,-6356.1,0,0,5
271,899.262,697.048,0,-20.6642,3
24,31012.5,45866.7,0,-14854.2,5
18,672.222,672.222,0,0,5
23,43834.8,43660.9,0,173.913,5
47,0,0,0,0,5
89,12665.2,12644.9,44.9438,-24.7191,4
21,20781,190.476,0,20590.5,5
26,153.846,153.846,0,0,1
90,-16725.6,-3714.44,-2320,-53.3333,2
1276,-411.991,2928.92,-1780.72,-440.987,5
35,21694.3,21694.3,0,0,5
32,-1359.37,3628.13,0,-4987.5,5
23,49247.8,49073.9,0,173.913,5
135,-6751.85,2746.67,-7174.81,-2288.15,1
108,6919.44,674.074,0,6245.37,4
24,166.667,0,166.667,0,5
37,50781.1,38878.4,0,11902.7,5
24,166.667,0,0,166.667,1
74,17829.7,17775.7,54.0541,0,5
23,5082.61,5082.61,0,0,4
92,11679.3,11679.3,0,0,5
212,7164.62,7149.53,-22.6415,37.7358,5
103,3721.36,7396.12,-3752.43,77.6699,2
140,-5504.29,-5504.29,0,0,1
24,37258.3,37258.3,0,0,5
